Population by GN division and age|||||||||Census of Population and Housing 2012|||||||||||||
|GN|||||||||||Age group||||||||||
Pahala Biyanvila WestPahala Biyanvila Central|268A268B|4,7082,375|340143|344170|320147|342181|406193|406191|389193|359171|353165|327155|283174|248134|219136|13885|10455|7341|4021|1314|36|10
Makola North PahalaMakola South Pahala|270B271B|5,5913,109|412234|444212|445214|502200|410221|455254|453304|375252|404200|374193|339195|306176|266162|161136|11268|5549|4825|2211|53|30
PamunuvilaGonawala East|265277|5,5934,081|411285|434354|385302|391308|400262|456288|496336|425358|418315|392275|350231|319239|277200|178142|11173|7556|3630|2917|63|47
SapugaskandaHeiyanthuduwa West|271A275C|6,3192,180|447170|505146|449151|464177|471200|450195|558196|541172|553149|444146|363118|282113|28990|22766|13642|7024|3620|243|72|30
Heiyanthuduwa EastSiyambalape South|275B274A|4,6496,119|395516|373439|334423|400462|350565|382582|440645|389465|321453|296400|257352|186253|196212|128135|9477|4368|3635|1724|27|106
Yatihena|274B|4,554|351|341|278|376|601|593|469|334|274|221|179|159|134|100|61|46|26|6|2|3
UlahitiwalaWalgama West|281B281A|2,7055,025|292295|264231|254237|253568|292979|225802|234538|175324|145257|135199|134193|103133|79100|6085|2937|1523|1014|53|06|11
Biyagama NorthBiyagama West|280280/D|5,2772,879|374278|309283|261227|520193|847179|734235|580303|405245|330214|249177|200143|145102|11699|9380|5449|3540|1722|55|33|02
Heiyanthuduwa SouthMabima East|275A276|2,3423,330|210279|206290|175247|174231|159215|187284|220330|204237|160222|146198|124192|123178|96153|69111|3072|2748|1627|1213|31|12
Mabima WestPattivila North|276A279|3,2702,048|259146|240130|220120|271196|263243|284185|292209|243143|232145|235123|177120|18179|13672|11459|5136|3323|2811|92|23|03
Gonawala CentralGaledanda|277B265A|5,0972,550|402185|426203|377179|421192|352192|390191|448205|367185|420186|344176|300165|259136|186128|15388|11967|7143|3218|235|55|21
Gonawala WestThalwatta|277/A278|5,9853,263|405232|453236|476227|483298|426360|399328|463302|458243|428245|389195|386149|354136|304111|26389|11850|8032|6315|268|82|35
BollegalaPattivila South|278A279A|3,9202,694|301227|285227|299183|298209|302212|324223|312274|277201|300201|268163|280173|218145|183105|11657|6449|5026|2212|194|11|12
Biyagama SouthBiyagama East|280/C280B|3,3123,016|274209|265216|190175|244213|262299|307364|350364|261257|217200|192182|187146|170133|14593|12174|5142|3522|1915|127|52|53
Yabaraluwa NorthYabaraluwa South|280A280E|1,8602,076|146145|144136|112133|151243|189228|170216|214194|161167|127136|120108|87105|7376|7459|3456|2338|1422|1412|52|00|20
Malwana TownWalgama East|281C281|5,3614,191|555369|568366|493326|516350|463492|372348|414391|347297|311283|320213|304207|235160|183126|147122|6664|3638|2024|66|45|14
KalutaraPanadura||1,221,948182,285|99,99913,779|103,27514,885|94,25214,100|90,30313,661|85,47613,081|89,65012,969|101,63014,550|87,95912,931|84,56013,161|76,36112,061|71,51311,306|63,5179,560|57,9979,229|44,0376,931|29,6704,277|20,8522,860|12,1181,693|5,707807|1,912289|1,160155
Horethuduwa NorthHorethuduwa|670B670|1,5742,013|122125|116166|113185|120158|95151|120148|107153|135141|113147|104139|109152|86110|9088|6751|3139|2138|1514|35|43|30
Horethuduwa CentralHorethuduwa South|670C670A|1,3122,138|85200|99179|91162|105164|80149|115170|109180|103137|80137|76140|80118|81136|8495|6272|2744|1725|1322|56|00|02
GorakanaGorakana South|671671A|2,6143,902|199318|207335|167316|174319|168264|219257|201272|179287|199283|197269|163266|164219|143169|95146|5481|4449|2728|817|55|12
Paratta WestParatta|672D672A|2,3972,926|165227|214253|197254|183248|177203|168216|198276|176198|177212|163198|137164|135135|120138|95101|3656|2423|1515|127|31|21
DiggalaKeselwatta|672B672|4,3016,270|339572|350599|318576|359588|355476|330422|363458|313397|321438|280395|249372|203283|177266|140185|80102|6875|3236|1118|88|54
SarikkamullaHenamulla|673673A|3,2183,024|246290|301328|236307|227288|240243|233204|270239|192171|220169|164195|208166|179133|195124|14679|7140|4620|2018|108|50|92
WattalpolaMiriyawatta|674A672C|4,2732,497|410192|380180|399180|353215|330189|271188|365213|255201|299153|266155|242179|207117|206110|14098|7464|3633|2716|78|33|33
ThotawattaWerawatta|675674B|4,8092,494|574269|536245|511243|435209|412203|319169|363202|292163|286145|277168|214139|183105|18887|10062|4934|4330|158|710|20|33
PallimullaGorakapola|673B674|2,0121,998|127129|163145|180141|217123|181163|146144|132171|141129|121132|127137|116116|105142|97102|6680|3867|3443|1217|712|03|22
Walana NorthAmbalanduwa|679A675A|2,9543,574|205440|244388|236356|217341|213287|194240|251293|230210|225233|195195|177191|154109|151136|11083|6739|4018|299|134|20|12
Galthude NorthGalthude|677A677|1,7361,647|124126|155121|122122|121116|122107|118137|137129|109133|136116|12893|107109|103109|9294|5847|4329|2325|2326|84|64|10
Hirana WestHirana|676A676|4,0942,496|301191|342199|333213|270179|276187|253172|359209|325179|341219|306160|233152|195125|187106|15884|8949|6033|3619|1513|84|73
Thanthirimulla EastThanthirimulla|681A681|1,9071,357|14474|13987|136105|14299|12590|11781|15491|12286|157116|12591|12494|9970|11186|7973|5543|3638|2216|1311|25|51
BekkegamaWalana South|680679B|2,9472,533|219161|216154|216153|215176|213278|217215|237215|235168|202152|211124|192162|152130|146147|125113|7186|3845|2626|1120|45|13
Walana Udahamulla|679682|3,4881,731|18174|249120|258106|228111|19796|176105|239100|262119|247144|245130|252109|191119|248122|21388|12376|7665|6624|2117|133|33
PunchideniyaMalamulla West|682C684A|1,7954,772|119367|136434|121381|105359|103344|121303|110377|165395|165421|111299|106276|103184|106208|87154|61110|4490|2042|1114|18|06
KiriberiyaMalamulla|684B684|3,7203,731|271267|293296|283317|307246|253254|261224|291303|289296|284287|296275|254245|170206|173171|99154|7988|6051|3230|1616|82|13
KuruppumullaEtambagoda|682A682B|1,6382,263|91117|133152|119150|109143|99141|110172|107141|92151|122151|122176|130178|100146|86115|78121|6084|3555|3036|823|410|31
Pattiya NorthBazaar North|685685A|1,059939|5750|5879|6261|5959|9757|12262|6760|5358|7868|7757|5370|5576|5868|6146|4327|2830|216|95|10|00
Sagara PlaceBazaar West|685D685C|547811|4356|4653|2648|4760|4447|4772|6569|3950|2448|3060|3255|2550|2656|2939|1023|77|513|13|02|10
Bazaar Walapala Pattiya|685B683A|6021,771|3099|37113|40152|36106|44110|48106|40121|32140|52149|44123|54113|4292|3999|2285|1775|1544|428|611|03|02
WalapalaEluvila|683687B|2,5963,495|185342|218334|179290|196273|215264|188237|205265|166244|200238|187227|166232|132165|123132|85107|7573|3035|2627|167|42|01
Wekada EastWekada North|687A687C|3,0712,753|241158|257179|230170|191164|199177|247210|283234|233182|235174|204168|167186|170169|149169|109130|65100|4680|3458|628|414|13
Wekada WestPattiya|687686B|2,9991,395|22998|22689|21276|18684|20782|221111|266103|237109|20688|17396|15898|14196|154101|15257|8742|6932|4724|95|122|72
UyankelePattiya South|686A686|1,7771,393|11771|12284|110108|11895|137117|162116|13396|12690|122112|119105|10093|10084|11168|9047|4349|2920|1720|1311|41|46
Kaludewala|689|2,267|167|195|153|179|141|164|208|187|184|137|108|118|100|107|68|23|14|12|2|0
Kaludewala EastMoravinna|689B689A|3,2303,884|241270|277293|221265|221323|207331|245316|292359|246299|230254|213229|202218|168192|178182|128161|6382|4954|2537|1611|56|32
Nallooruwa NorthNallooruwa|692A692|1,9783,014|146179|151235|151225|129183|137229|150212|156241|162219|143231|110181|128211|111167|102184|82148|5767|2648|2638|88|35|03
DibbeddaDibbedda North|693693A|1,5062,938|116234|119253|117207|106208|121188|112218|128253|105223|103200|101200|86171|77172|89162|51106|3562|1945|917|612|45|22
NarampitiyaPinwatta|696A696|2,5543,409|215264|237289|211243|155255|172264|200250|198290|195234|189282|157228|161192|120177|122153|89120|5376|4150|1928|118|35|61
Pinwatta WestThalpitiya North|696B697|2,2122,479|161170|153181|144195|172206|148173|158182|177197|166174|159175|139156|147199|133132|132127|9686|5451|4236|2120|614|35|10
Thalpitiya SouthPallimankada|697A697B|3,3622,843|231196|253205|267211|236215|206200|240180|273224|241181|275187|240195|225196|165155|175183|126110|7784|7455|3137|2119|510|10
Wadduwa WestWadduwa East|699698|1,3922,544|104160|112201|100188|102180|96170|109158|107212|96185|96178|92199|74159|78157|72146|67100|3871|2342|1321|712|43|22
Maha WadduwaPattieliya|698A702A|3,9671,080|32377|34190|30072|34367|28053|29175|37680|27398|26785|27782|22857|18951|18752|13068|6029|4321|2811|237|65|20
Kuda WadduwaWadduwa South|702699A|2,1221,420|14575|15495|144114|142113|12979|137115|16793|131103|169113|157102|15184|11987|11985|9157|7741|4439|2814|169|20|02
MolligodaMolligoda North|704704A|2,0402,464|111196|139191|141198|147165|181166|132169|141179|120186|145209|155165|138162|152121|132121|7786|5458|3236|1531|1617|75|53
Molligoda SouthBandaragama|704B|2,217109,236|1618,624|1729,157|1668,581|1718,222|1497,458|1527,866|1778,907|1728,270|1438,068|1447,242|1516,461|1345,501|1094,980|773,826|522,532|451,739|181,028|19481|5182|0111
Kidelpitiya WestKidelpitiya East|669669A|2,1611,805|151136|155148|153152|169139|17392|189105|156156|141145|162144|136146|168113|12586|9181|6865|4741|3530|1715|138|82|41
SenapuraNewdawa|669C678B|2,6173,916|198338|213383|212301|192276|165227|205277|218357|207365|201300|144238|154201|158182|102146|101130|6479|3369|2033|1113|31|160
AluthgamaAlothiyawa|668668B|2,0182,446|147158|152164|127178|131224|138172|141181|201173|154196|138165|128201|134182|121120|102127|7075|5146|3733|2432|1210|86|23
Walgama NorthRerukana|667B667A|1,669940|13380|13761|12173|10461|11970|13673|13082|13866|12367|12169|9756|9448|5841|5633|3124|3915|1811|106|13|31
SamaranayakapuraKothalawala|667C661A|1,0602,879|80225|84274|69215|70215|63163|86182|86241|77268|77242|63209|68146|60137|61112|4699|2369|2945|723|66|23|35
Veedagama EastWalgama South|664667D|1,7791,557|153138|155125|155106|11796|9694|122134|159141|148118|122115|10875|9185|8492|8481|8556|5042|2427|1617|812|11|12
GammanpilaMedagama|667668A|2,0841,716|159129|148125|158122|159106|147132|147147|182134|171118|131122|128124|111118|10382|11389|9267|5838|3234|2416|92|85|46
Alubomulla EastKuda Aruggoda East|691678A|2,8133,235|191235|250242|213266|203258|202211|192247|226269|199248|205251|197217|175188|161172|131163|109114|7370|3933|2928|1318|33|22
Maha AruggodaKuda Aruggoda West|678678C|3,4782,168|300177|305163|291151|253169|228144|226177|312188|265171|283145|217148|193131|160115|165107|11876|6745|4623|3022|1212|73|01
BatadombathuduwaMiriswatta|691B690B|3,6481,322|30098|299117|27799|26386|21790|224102|320129|29091|29776|23175|23297|18273|18473|13955|6824|6614|3314|188|51|30
Wanduramulla WestPinwala East|688B688|1,2991,470|9197|92146|120125|93124|96105|9984|101123|7889|105118|101104|8399|7178|6662|3948|2433|1916|1410|54|23|02
Pinwala WestWanduramulla East|688A688C|1,6542,051|117125|157141|141185|136163|100144|149138|130147|105140|130166|114184|92123|76111|7892|5370|3755|1430|1625|49|42|11
MahavilaPamunugama|690694|2,6061,934|158131|169155|175156|230114|317116|209115|213158|174173|171146|163127|143109|114115|142104|8071|7053|3944|2421|716|53|37
Alubomulla WestRambukkana North|691A665|3,1581,152|21276|24191|24694|23379|19477|20960|22590|24481|24887|25583|21485|18053|16261|10542|8630|4233|4418|107|84|01
Kamburugoda WestKamburugoda East|666A666|1,232773|11048|8851|6958|7761|8257|9959|12551|10355|7551|6451|8355|7144|6841|4637|3318|1715|139|68|33|01
Veedagama WestGelanigama|664A661|1,881837|11657|16960|15159|12759|10058|13361|11462|14466|14765|13060|13348|9544|10628|8529|5242|4517|2116|85|21|30
Raigama SouthRaigama West|656656C|1,1221,350|88108|8894|6196|78111|6898|8387|9287|83100|86105|79100|5292|6360|5857|5947|2442|2936|1915|99|03|33
Raigama EastRaigama North|656B656A|1,7791,789|132136|144156|136135|110135|99128|112126|135132|150146|127150|122112|104120|11285|10071|7557|4338|2832|2818|159|31|42
Kolamediriya NorthBandaragama East|657A663A|1,1331,609|75110|95119|67120|81119|7093|85112|89116|79133|92128|76120|6399|72102|5066|6067|3347|2527|1514|59|18|00
BandaragamaRambukkana South|663665A|8941,093|6174|5277|5688|5388|7065|7777|7187|7077|5295|6386|6474|5352|4562|4034|2428|2013|116|88|32|10
BolgodaMahabellana|665B695|1,1941,994|77136|96151|91141|95150|85124|86124|96158|90147|90131|91128|73148|62117|54110|4696|2457|2143|722|37|53|21
Imbulliha Diganathuduwa|694A694B|2,2172,479|163185|190227|183206|161201|141170|152179|171206|185185|189202|169167|112142|93119|7994|8063|6352|4943|2022|127|34|25
MadupitiyaMahawatta|690A695A|2,9921,701|249149|250138|216124|232105|210108|198120|269143|216138|219143|250114|19288|13375|13190|9664|5746|3831|2114|109|41|11
Bandaragama WestYatiyana|663B662A|1,8951,906|158148|167156|154127|137120|121131|126159|172166|148178|146122|126112|10098|9195|9292|6881|3856|2531|926|134|33|11
WevitaAtulugama East|662659|1,7602,156|111267|140238|107229|109178|119186|146167|131176|150138|128152|98118|102101|8872|9951|8334|6028|4710|265|115|51|00
Panape|657|834|59|74|52|52|46|63|56|67|61|52|52|55|41|35|24|22|8|6|5|4
GalgemandiyaAtulugama West|659D659A|1,8061,913|243203|208196|186183|157189|117179|131130|140147|127116|119108|93110|84104|7087|4464|3838|2724|1516|512|21|04|02
Bamunumulla (Muslim)Bamunumulla|659C660|1,165625|12652|11259|11832|11938|10439|7751|10970|6249|7639|5734|5131|5325|3734|2425|1621|1115|57|64|20|00
EpitamullaKorawala|660A659B|1,0002,325|96215|120224|96279|73286|57205|65168|88155|83131|76157|52125|3899|3985|4366|2655|2235|1326|611|52|21|00
BogahawattaKimmanthudawa|659E658|2,198949|25881|24680|21565|20058|16670|16988|16581|13460|13466|11463|11754|7858|8346|5125|4218|1623|610|42|01|00
HoranaKotigamgoda|628B|113,3642,108|8,677156|8,908164|8,019161|8,120158|7,839151|8,397152|9,788166|8,778166|8,289144|7,185161|6,727108|5,866109|5,354102|4,26787|2,95355|2,08439|1,27715|5497|1993|884
Pahala Millewa NorthPahala Millewa South|628C628|1,8471,497|159111|159111|129103|12099|12687|159114|180145|149121|13893|10895|9082|9779|8692|5569|4236|2324|1818|615|13|20
Ihala Millewa NorthIhala Millewa South|628A628D|1,4062,885|115233|116230|98201|99199|90195|99187|127244|122244|126233|94178|73186|54137|51146|57105|2759|2961|1935|89|22|01
Thalagala EastThalagala North|613C613|2,5353,981|213340|185335|178300|208301|203260|212311|228358|170347|154293|136260|149239|126167|120142|104120|5192|4864|3437|99|74|02
Thalagala WestOlaboduwa North|613B605B|2,9311,702|233146|265140|210139|213145|182114|225132|233139|247139|235130|187114|16882|13886|12664|9047|8344|3519|3718|204|40|00
KoralaimaGodigamuwa East|604A606B|3,4792,578|263208|250201|273189|300203|243150|257193|255222|239221|294210|248164|245168|189122|147111|10784|7545|4545|3227|118|45|22
HalapitiyaWelmilla|606C606A|2,6501,889|209142|199166|220137|190139|168118|195126|237157|218136|208151|184142|159115|12886|9384|8565|6247|5144|2020|1012|82|60
Godigamuwa WestPalannoruwa|606604|1,7393,009|154222|142255|108199|103172|102227|160219|162264|131226|113211|94191|99177|107167|84160|72116|4187|3454|2234|521|26|41
Olaboduwa SouthOlaboduwa East|605605A|1,7791,491|146112|165131|131104|113108|11298|138122|150129|137103|152106|14088|10095|7968|7473|5051|3342|2727|1917|914|32|11
Thalagala SouthPannila|613A612B|2,8611,667|248144|237148|226110|205100|18494|213138|250171|224134|22999|18790|17599|12793|132115|8851|6830|2824|2213|144|25|25
KahatapitiyaUduwa North|612614|2,3311,836|183127|186149|144122|159131|186125|197140|208153|182153|156139|124110|147104|13898|10783|7769|5148|3949|2315|158|49|54
KidelpitiyaGorokgoda|629630A|2,137527|17843|18834|12944|15328|14222|14632|20040|18844|14544|14126|11331|12826|9626|7531|4622|3916|1910|77|30|11
DambaraHandupelpola|630631|1,7341,557|121104|116149|120110|108113|12669|12092|159137|120112|11989|119106|109103|9491|7890|7964|5748|4634|2532|1410|24|20
Kuda UduwaMaha Uduwa|614C614B|1,6701,884|127127|126135|114132|125151|102149|106145|142163|140130|122131|97128|94127|68123|9076|7655|6152|4829|1322|106|72|21
Kananvila NorthBatuvita North|612A611|1,575976|10774|10967|11572|12070|11168|12073|11475|11076|12962|9864|10274|8659|7842|5636|5820|2519|2117|115|42|11
Kumbuka EastKumbuka South|607607B|1,6921,140|14086|13994|11990|11281|11781|14064|162110|12992|117102|8976|8759|7740|8050|6849|4833|3915|198|68|20|22
Kumbuka NorthKumbuka West|607C607A|1,9782,105|178164|155154|134140|123151|118145|146175|195185|147158|147152|116144|111128|107133|9382|8373|4847|3733|2326|1310|45|00
PokunuvitaBatuvita South|608611B|2,1441,478|138107|127140|13599|148106|143114|166112|175133|158111|150102|14791|15384|11862|11860|8858|6329|6034|3222|1410|103|11
MeemanaKananvila South|611A612C|2,157722|16151|16553|14846|16957|15441|14646|17857|17958|13266|14250|13543|11729|10835|7833|6626|4110|1814|153|32|22
Uduwa SouthKirigalahena|614A617C|1,8281,213|15999|14892|14388|11386|9579|131108|163104|154100|14079|10568|9266|8665|8470|7437|7031|3422|2412|86|41|10
Meewanapalana WestMeewanapalana East|617B617|1,571958|13653|13959|11969|12182|9065|8675|14366|12445|13566|11362|8359|6363|6157|6343|3831|3427|1621|611|13|01
GurugodaMunagama East|617A616D|1,7601,472|139124|108111|10988|12490|14491|151124|171142|138131|111100|9777|9285|10294|8184|8359|3534|4222|167|65|83|31
MidellamulahenaOvitiyagala|616E616A|2,8591,359|240108|28691|216101|18577|18192|234109|274117|23489|24488|16286|13688|12261|11173|10365|7454|3332|1219|86|31|12
AramanagollaWerullahena|610A610B|2,582836|18861|19064|17562|18763|20358|21358|23975|19665|16058|13755|15962|16146|11542|10722|8320|3015|277|83|30|10
KulupanaKanewala|610609|9871,750|67139|77139|60124|75111|73112|73127|84156|64156|75123|75104|53111|5082|5278|4369|3146|1936|925|57|12|13
HenegamaGal Edandugoda|609A615C|2,1881,153|14796|17273|17576|158100|14765|14779|169102|17584|15581|15181|12377|11558|11461|8247|5933|4315|3617|144|64|00
Horana NorthMunagama West|615616|2,1491,129|14966|15282|17667|14983|13780|15370|17188|148101|15980|14670|12472|12669|10953|9047|6347|4326|3715|710|62|41
DikhenagamaNarthanagala|616B616C|1,5902,903|128189|143220|89179|106230|122216|128208|180231|121208|102208|84188|84203|83179|80177|68126|3551|2851|827|08|04|10
Horana SouthWewala West|615A615F|1,3341,290|9582|10389|90123|72130|9981|9376|11789|9788|110100|9083|8568|7250|6159|6058|3352|2839|1814|73|33|13
HalthotiyawattaMahena|615D615B|1,2331,910|103133|86144|77136|88150|69100|102131|110156|94171|96119|73118|72104|58125|68114|4093|4649|2330|1422|1312|12|01
Wewala EastHorana East|615G615E|2,0121,621|11195|16392|15692|16496|174349|11588|14296|14193|171106|13992|12789|10479|10254|7859|5739|2652|2830|916|43|11
IngiriyaMenerigama|625A|53,8961,364|4,217119|4,40393|3,85481|3,93493|3,83287|4,421108|4,819138|4,058103|3,55983|3,30072|3,03486|2,88373|2,57783|1,92556|1,27939|92029|51211|2587|722|391
Arakavila|625|2,176|170|176|155|142|141|148|197|175|189|128|126|120|89|90|46|43|20|15|5|1
KandanapitiyaKottiyawatta|626626A|1,6791,106|12084|134102|11287|10382|11991|13195|13999|13870|12465|9473|9961|8551|8260|8836|3726|3517|235|102|20|40
Kurana NorthKurana South|627B627|8861,485|67122|86112|53101|58107|46102|60129|87125|72110|6490|6194|4877|5282|4272|2868|2440|1732|1014|96|22|00
